Trường,Ngành,Điểm chuẩn,Chỉ tiêu,Học Phí,Giới thiệu
ĐH Kinh Tế(DHQG),QTKD,33.45,,,
Ngoại Thương,QTKD,27.95,140,20tr/năm,http://qtkd.ftu.edu.vn/
KTQD,QTKD,27.2,280,,http://fbm.neu.edu.vn/
Thương Mại,QTKD,25.8,,,https://tmu.edu.vn/vi/news/Dao-tao-Chinh-quy/de-an-tuyen-sinh-trinh-do-dai-hoc-nam-2021-2057.html
Bách Khoa,QTKD,25.75,80,19-21tr/năm,https://ts.hust.edu.vn/nganh-dao-tao/quan-tri-kinh-doanh
HV Tài Chính,QTKD,25.5,,,https://m.hvtc.edu.vn/tabid/1283/dvid/34/Default.aspx
HV Ngân Hàng,QTKD,25.3,,,https://hvnh.edu.vn/biz/vi/video/gioi-thieu-khoa-quan-tri-kinh-doanh-hoc-vien-ngan-hang-2020-308.html
Công nghiệp,QTKD,23.55,450,,https://www.haui.edu.vn/vn/page/ts/detail/63001
HV BCVT,QTKD,23.5,145,460k/tín(16-17tr 1 năm),
ĐH Công Đoàn,QTKD,22,,,
FPT,QTKD,21,,,https://daihoc.fpt.edu.vn/nganh-hoc/kinh-doanh-quan-ly/
Phenikaa,QTKD,18.05,100,28tr/năm,https://phenikaa-uni.edu.vn/vi/post/dao-tao/nganh-hoc/nganh-quan-tri-kinh-doanh
